,Date,W1,W2,W3,W4,W5,PB
0,2015-04-18,13,22,23,29,31,17
1,2015-04-15,01,16,21,29,40,30
2,2015-04-11,01,12,32,42,58,12
3,2015-04-08,01,19,45,46,58,29
4,2015-04-04,33,39,40,41,54,28
5,2015-04-01,02,30,33,39,44,01
6,2015-03-28,02,04,06,12,38,17
7,2015-03-25,07,19,23,50,54,14
8,2015-03-21,11,16,30,38,42,07
9,2015-03-18,14,25,30,33,47,08
10,2015-03-14,08,14,39,46,47,18
11,2015-03-11,11,24,31,40,44,27
12,2015-03-07,34,36,38,42,50,33
13,2015-03-04,08,12,15,35,50,32
14,2015-02-28,11,17,25,28,46,12
15,2015-02-25,17,19,21,32,39,08
16,2015-02-21,10,14,18,34,51,26
17,2015-02-18,01,09,29,32,49,22
18,2015-02-14,01,24,44,45,51,28
19,2015-02-11,11,13,25,39,54,19
20,2015-02-07,05,10,21,34,58,33
21,2015-02-04,24,36,51,52,56,22
22,2015-01-31,05,11,16,26,50,34
23,2015-01-28,12,24,35,36,49,01
24,2015-01-24,16,19,20,29,33,10
25,2015-01-21,11,12,15,28,57,23
26,2015-01-17,15,16,23,27,36,09
27,2015-01-14,02,04,10,41,53,22
28,2015-01-10,02,09,19,28,29,19
29,2015-01-07,14,15,47,49,59,10
30,2015-01-03,04,18,43,46,55,25
31,2014-12-31,17,27,37,40,53,35
32,2014-12-27,07,10,11,14,36,15
33,2014-12-24,11,12,46,47,50,22
34,2014-12-20,14,15,19,31,56,05
35,2014-12-17,22,31,38,47,48,15
36,2014-12-13,05,13,28,43,55,33
37,2014-12-10,34,44,48,54,55,10
38,2014-12-06,12,15,22,43,49,14
39,2014-12-03,25,30,32,46,54,26
40,2014-11-29,13,24,30,42,48,27
41,2014-11-26,16,17,22,46,54,35
42,2014-11-22,23,49,53,54,57,35
43,2014-11-19,06,36,38,48,51,17
44,2014-11-15,13,16,33,35,51,28
45,2014-11-12,37,39,51,52,55,11
46,2014-11-08,09,19,33,38,54,15
47,2014-11-05,02,11,19,21,42,34
48,2014-11-01,01,03,13,25,38,17
49,2014-10-29,25,28,48,57,59,16
50,2014-10-25,06,10,51,54,57,12
51,2014-10-22,29,30,40,42,50,16
52,2014-10-18,20,26,27,36,54,19
53,2014-10-15,05,07,19,27,28,20
54,2014-10-11,10,19,37,38,39,28
55,2014-10-08,05,16,31,46,50,18
56,2014-10-04,13,18,24,25,33,31
57,2014-10-01,01,04,18,20,45,07
58,2014-09-27,02,11,35,52,54,13
59,2014-09-24,07,14,21,24,41,26
60,2014-09-20,22,23,30,37,39,16
61,2014-09-17,18,25,36,48,50,23
62,2014-09-13,01,06,16,37,53,27
63,2014-09-10,02,14,39,40,43,13
64,2014-09-06,09,29,31,43,50,18
65,2014-09-03,02,16,43,45,51,35
66,2014-08-30,05,28,31,52,59,27
67,2014-08-27,17,24,26,45,46,19
68,2014-08-23,28,32,35,36,52,31
69,2014-08-20,04,08,21,38,40,03
70,2014-08-16,07,08,17,48,59,09
71,2014-08-13,08,37,39,40,52,24
72,2014-08-09,03,12,31,34,51,24
73,2014-08-06,01,08,24,28,49,24
74,2014-08-02,12,26,44,46,47,29
75,2014-07-30,13,30,42,49,53,29
76,2014-07-26,24,28,30,38,39,16
77,2014-07-23,04,10,12,22,31,03
78,2014-07-19,10,17,25,45,53,09
79,2014-07-16,05,15,18,26,32,35
80,2014-07-12,02,03,07,23,51,26
81,2014-07-09,09,25,42,55,57,14
82,2014-07-05,24,34,36,57,58,11
83,2014-07-02,08,18,45,53,58,35
84,2014-06-28,08,12,34,43,56,09
85,2014-06-25,10,20,25,50,53,35
86,2014-06-21,05,06,37,41,54,26
87,2014-06-18,06,09,29,52,59,07
88,2014-06-14,09,33,42,45,54,30
89,2014-06-11,14,18,25,33,49,23
90,2014-06-07,28,30,35,58,59,15
91,2014-06-04,01,07,10,22,49,24
92,2014-05-31,15,27,31,34,48,01
93,2014-05-28,02,24,28,32,59,25
94,2014-05-24,15,16,28,49,55,18
95,2014-05-21,04,20,34,39,58,31
96,2014-05-17,23,32,39,47,49,22
97,2014-05-14,07,33,39,52,55,33
98,2014-05-10,04,31,41,47,55,01
99,2014-05-07,17,29,31,48,49,34
100,2014-05-03,05,15,16,46,49,26
101,2014-04-30,02,09,11,19,50,32
102,2014-04-26,03,07,22,30,33,20
103,2014-04-23,19,25,29,36,48,12
104,2014-04-19,05,06,29,35,51,21
105,2014-04-16,34,39,42,44,59,08
106,2014-04-12,14,26,45,54,55,20
107,2014-04-09,09,14,44,48,49,29
108,2014-04-05,11,21,26,33,34,29
109,2014-04-02,08,13,19,22,53,24
110,2014-03-29,02,03,12,27,38,17
111,2014-03-26,28,33,41,44,59,21
112,2014-03-22,13,28,31,55,58,15
113,2014-03-19,02,19,23,34,43,14
114,2014-03-15,02,05,34,51,58,09
115,2014-03-12,14,15,28,37,54,10
116,2014-03-08,10,14,24,32,41,30
117,2014-03-05,03,07,09,26,54,19
118,2014-03-01,03,08,25,30,47,13
119,2014-02-26,11,12,17,38,42,02
120,2014-02-22,02,03,13,14,54,04
121,2014-02-19,01,17,35,49,54,34
122,2014-02-15,02,09,14,21,23,03
123,2014-02-12,36,44,49,52,57,01
124,2014-02-08,24,25,34,37,54,29
125,2014-02-05,08,17,32,57,59,24
126,2014-02-01,05,12,15,27,38,07
127,2014-01-29,11,23,28,32,47,20
128,2014-01-25,08,12,18,55,57,02
129,2014-01-22,01,02,07,09,55,29
130,2014-01-18,13,14,19,31,38,25
131,2014-01-15,07,08,09,24,29,25
132,2014-01-11,10,15,33,48,54,34
133,2014-01-08,10,28,39,47,58,22
134,2014-01-04,19,20,37,41,58,14
135,2014-01-01,15,24,40,48,52,23
136,2013-12-28,08,35,44,51,56,18
137,2013-12-25,23,28,38,39,56,32
138,2013-12-21,25,36,40,45,51,08
139,2013-12-18,07,24,37,39,40,01
140,2013-12-14,14,25,32,33,41,34
141,2013-12-11,01,10,13,18,19,27
142,2013-12-07,13,20,32,45,48,17
143,2013-12-04,06,09,11,31,44,25
144,2013-11-30,05,26,44,45,57,29
145,2013-11-27,18,25,50,55,57,17
146,2013-11-23,05,12,43,52,55,10
147,2013-11-20,04,18,23,32,45,07
148,2013-11-16,10,29,37,44,59,10
149,2013-11-13,05,31,50,55,56,09
150,2013-11-09,03,09,37,49,56,32
151,2013-11-06,01,05,10,15,49,22
152,2013-11-02,13,23,24,27,40,17
153,2013-10-30,02,36,40,49,54,10
154,2013-10-26,04,06,34,49,56,29
155,2013-10-23,03,23,31,34,47,13
156,2013-10-19,09,33,54,56,57,05
157,2013-10-16,03,26,28,34,42,28
158,2013-10-12,08,10,26,57,58,04
159,2013-10-09,03,09,19,33,38,18
160,2013-10-05,11,12,17,39,40,05
161,2013-10-02,04,06,25,42,51,17
162,2013-09-28,14,47,52,53,54,05
163,2013-09-25,02,07,17,49,53,23
164,2013-09-21,12,17,45,54,58,13
165,2013-09-18,07,10,22,32,35,19
166,2013-09-14,01,17,25,37,44,20
167,2013-09-11,11,19,33,42,52,33
168,2013-09-07,02,19,22,26,45,24
169,2013-09-04,02,09,26,45,47,11
170,2013-08-31,02,07,25,40,56,20
171,2013-08-28,06,07,09,19,32,13
172,2013-08-24,12,17,25,45,59,19
173,2013-08-21,30,40,42,46,48,23
174,2013-08-17,18,21,46,54,56,23
175,2013-08-14,04,11,17,43,51,20
176,2013-08-10,04,12,14,37,58,13
177,2013-08-07,05,25,30,58,59,32
178,2013-08-03,21,24,36,42,45,15
179,2013-07-31,08,24,39,49,59,05
180,2013-07-27,09,23,40,53,58,06
181,2013-07-24,09,29,40,44,54,07
182,2013-07-20,14,25,27,38,58,06
183,2013-07-17,01,22,34,38,42,17
184,2013-07-13,02,08,22,35,37,06
185,2013-07-10,30,31,45,55,59,27
186,2013-07-06,02,13,35,36,52,11
187,2013-07-03,03,06,29,40,51,04
188,2013-06-29,08,28,30,53,56,16
189,2013-06-26,01,18,33,39,46,33
190,2013-06-22,13,19,23,33,57,28
191,2013-06-19,07,46,47,52,57,17
192,2013-06-15,28,36,40,48,55,01
193,2013-06-12,16,22,23,42,55,32
194,2013-06-08,02,11,22,26,32,19
195,2013-06-05,04,26,33,36,55,32
196,2013-06-01,22,28,33,53,59,14
197,2013-05-29,09,14,17,49,57,02
198,2013-05-25,02,06,19,21,27,25
199,2013-05-22,09,31,35,41,57,26
200,2013-05-18,10,13,14,22,52,11
201,2013-05-15,02,11,26,34,41,32
202,2013-05-11,06,13,19,23,43,16
203,2013-05-08,21,22,26,30,57,27
204,2013-05-04,07,12,26,36,40,17
205,2013-05-01,22,26,31,54,55,18
206,2013-04-27,03,23,48,54,55,05
207,2013-04-24,09,19,31,56,59,02
208,2013-04-20,06,08,30,39,48,20
209,2013-04-17,13,18,36,48,58,28
210,2013-04-13,10,12,31,56,57,33
211,2013-04-10,01,36,40,52,53,20
212,2013-04-06,04,07,08,29,39,24
213,2013-04-03,01,06,08,12,35,03
214,2013-03-30,11,23,26,46,55,27
215,2013-03-27,07,37,43,48,52,16
216,2013-03-23,17,29,31,52,53,31
217,2013-03-20,13,14,17,43,54,15
218,2013-03-16,03,07,21,44,53,16
219,2013-03-13,05,09,28,32,38,29
220,2013-03-09,10,37,40,46,52,12
221,2013-03-06,06,10,23,41,45,01
222,2013-03-02,03,08,13,41,56,16
223,2013-02-27,03,14,20,34,48,21
224,2013-02-23,02,05,31,39,41,29
225,2013-02-20,03,17,19,25,32,17
226,2013-02-16,15,16,46,50,58,29
227,2013-02-13,12,23,25,27,43,29
228,2013-02-09,05,06,16,36,58,03
229,2013-02-06,05,27,36,38,41,12
230,2013-02-02,11,16,33,40,41,34
231,2013-01-30,14,16,32,47,52,16
232,2013-01-26,03,22,26,41,49,18
233,2013-01-23,11,12,24,43,45,09
234,2013-01-19,08,28,29,34,38,35
235,2013-01-16,09,21,28,32,51,35
236,2013-01-12,10,14,21,23,47,07
237,2013-01-09,11,13,20,27,59,26
238,2013-01-05,26,30,49,51,54,25
239,2013-01-02,18,20,28,35,53,20
240,2012-12-29,36,46,50,52,55,14
241,2012-12-26,11,13,23,43,54,04
242,2012-12-22,01,18,35,39,44,11
243,2012-12-19,05,08,20,23,30,03
244,2012-12-15,15,23,40,44,55,14
245,2012-12-12,08,10,25,36,44,28
246,2012-12-08,07,23,26,40,53,21
247,2012-12-05,13,17,19,27,38,12
248,2012-12-01,03,10,19,36,46,03
249,2012-11-28,05,16,22,23,29,06
250,2012-11-24,22,32,37,44,50,34
251,2012-11-21,08,18,24,30,39,26
252,2012-11-17,03,15,27,58,59,20
253,2012-11-14,08,10,30,44,58,13
254,2012-11-10,32,42,50,54,55,32
255,2012-11-07,32,34,45,52,58,20
256,2012-11-03,04,07,09,30,54,25
257,2012-10-31,01,27,31,45,48,05
258,2012-10-27,22,32,34,36,56,33
259,2012-10-24,03,18,21,23,50,04
260,2012-10-20,04,21,28,31,44,10
261,2012-10-17,01,07,10,23,42,35
262,2012-10-13,02,05,25,26,49,18
263,2012-10-10,18,26,29,35,43,28
264,2012-10-06,15,26,34,36,59,35
265,2012-10-03,17,23,36,55,59,10
266,2012-09-29,14,18,28,29,57,08
267,2012-09-26,13,26,39,41,42,10
268,2012-09-22,02,16,18,40,42,33
269,2012-09-19,01,05,08,39,50,23
270,2012-09-15,03,20,26,43,48,01
271,2012-09-12,24,33,36,48,56,06
272,2012-09-08,06,20,34,44,48,29
273,2012-09-05,04,19,26,42,51,29
274,2012-09-01,08,11,21,44,49,22
275,2012-08-29,25,28,49,54,56,28
276,2012-08-25,01,06,07,20,49,23
277,2012-08-22,22,29,31,47,55,19
278,2012-08-18,14,26,41,55,59,01
279,2012-08-15,06,27,46,51,56,21
280,2012-08-11,04,13,39,46,51,01
281,2012-08-08,03,07,11,15,28,12
282,2012-08-04,19,30,48,53,55,18
283,2012-08-01,03,16,48,56,58,04
284,2012-07-28,05,06,13,36,50,13
285,2012-07-25,03,14,35,38,46,16
286,2012-07-21,09,31,38,54,56,20
287,2012-07-18,02,05,20,23,57,03
288,2012-07-14,04,16,32,37,46,13
289,2012-07-11,05,22,36,49,55,23
290,2012-07-07,03,05,29,39,59,29
291,2012-07-04,14,19,35,39,56,33
292,2012-06-30,07,15,20,41,44,22
293,2012-06-27,06,34,40,46,58,06
294,2012-06-23,01,03,41,44,53,30
295,2012-06-20,11,17,29,56,57,14
296,2012-06-16,08,14,15,16,27,26
297,2012-06-13,07,10,14,33,57,18
298,2012-06-09,18,22,45,56,57,27
299,2012-06-06,19,30,33,48,59,27
300,2012-06-02,09,10,17,29,45,33
301,2012-05-30,09,10,24,52,56,14
302,2012-05-26,13,14,41,49,59,14
303,2012-05-23,04,07,26,53,59,32
304,2012-05-19,08,13,35,46,51,30
305,2012-05-16,03,07,21,28,43,02
306,2012-05-12,10,24,35,53,58,22
307,2012-05-09,01,07,11,55,56,01
308,2012-05-05,09,12,20,44,59,23
309,2012-05-02,07,08,33,38,50,29
310,2012-04-28,31,39,40,57,58,33
311,2012-04-25,04,25,29,34,43,29
312,2012-04-21,06,08,20,42,51,16
313,2012-04-18,20,22,39,46,49,29
314,2012-04-14,14,15,16,19,24,02
315,2012-04-11,16,23,42,44,47,02
316,2012-04-07,05,13,17,20,30,18
317,2012-04-04,01,24,33,45,49,06
318,2012-03-31,05,14,36,54,58,27
319,2012-03-28,11,16,29,50,58,33
320,2012-03-24,01,15,35,37,47,08
321,2012-03-21,32,43,53,55,56,06
322,2012-03-17,11,14,49,55,58,30
323,2012-03-14,01,08,41,46,59,24
324,2012-03-10,05,14,17,20,41,05
325,2012-03-07,12,35,45,46,47,12
326,2012-03-03,29,30,45,47,49,35
327,2012-02-29,01,04,11,23,26,14
328,2012-02-25,06,11,42,53,54,07
329,2012-02-22,07,16,17,39,51,32
330,2012-02-18,23,28,50,56,59,05
331,2012-02-15,11,12,32,52,56,11
332,2012-02-11,01,10,37,52,57,11
333,2012-02-08,17,28,38,39,51,33
334,2012-02-04,15,23,43,45,56,07
335,2012-02-01,08,13,17,34,59,35
336,2012-01-28,05,33,41,54,59,13
337,2012-01-25,04,19,28,29,47,05
338,2012-01-21,12,24,43,44,45,07
339,2012-01-18,06,29,34,44,50,28
340,2012-01-14,10,30,36,38,41,01
341,2012-01-11,05,19,29,45,47,25
342,2012-01-07,03,21,24,38,39,24
343,2012-01-04,21,35,46,47,50,02
344,2011-12-31,05,23,25,28,40,34
345,2011-12-28,16,21,27,41,45,14
346,2011-12-24,14,16,30,51,52,19
347,2011-12-21,10,13,15,31,54,18
348,2011-12-17,13,28,49,51,59,33
349,2011-12-14,02,24,46,52,56,19
350,2011-12-10,04,19,33,41,59,09
351,2011-12-07,03,14,20,39,40,37
352,2011-12-03,05,18,33,43,45,08
353,2011-11-30,02,06,34,35,47,22
354,2011-11-26,20,37,39,45,55,28
355,2011-11-23,04,30,35,57,59,25
356,2011-11-19,09,16,17,28,30,11
357,2011-11-16,13,22,25,39,51,28
358,2011-11-12,04,35,36,51,56,08
359,2011-11-09,05,35,57,58,59,12
360,2011-11-05,02,33,39,40,43,26
361,2011-11-02,12,14,34,39,46,36
362,2011-10-29,11,16,40,51,56,38
363,2011-10-26,01,18,21,39,55,06
364,2011-10-22,03,08,23,30,58,13
365,2011-10-19,16,26,35,52,58,02
366,2011-10-15,05,10,24,38,43,01
